Datum;Naam;Plaats;Afstand;HM;Land;dagen;url
7/04/2013;Roc Laissagais;Laissac;84;2685;FR;;
;Trans Piades;St-Julien Le Montagnier;80-100;2600;FR;;
28/09/2013;Transprovence;Tallard;320;9500;FR;7;
;Transvesubienne;La Colmiane;86;3300;FR;;
22/09/2013;Ultra Raid de la Meije;Villar d'Aréne;112;5150;FR;2;http://www.ultraraidlameije.fr/
22/09/2013;Ultra Raid de la Meije new;Villar d'Aréne;112;5150;FR;;
;Roc d'Azur Marathon;Fréjus;83;2700;FR;;http://www.rocazur.com/
;Tour de France VTT;Niort;?;?;FR;8;
;Balaton Marathon;Balatonfured;117;;Hun;;
;Duna Marathon;Visegrad;92;3000;Hun;;
6/07/2013;Dolomiti Superbike;Niederdorf-Villabassa;110;3350;I;;
5/05/2013;Bike Marathon Garda Trentino;Riva Del Garda;105;3561;I;;
;Sellaronda Hero;Selva Val Gardena;82;4200;I;;
;Val Di Fassa Bike  UCI series;Moena;64;2760;I;;
6/07/2013;Dolomiti Super Bike;Niederdorf;111;3000;I;;http://www.dolomitisuperbike.com/
20/07/2013;Iron Bike;Salluzzo;650;22000;I;8;
5/05/2013;Aischdall Bike;Hobscheid;85-113;2400;Lux;;
12/05/2013;Rothaus Singen Marathon;Singen;75;2400;Lux;;
;UCP Bike Marathon;Hobscheid;83;1900;Lux;;
;Duchene Heroes;Luxemburg-Amsterdam;700;;Lux-Ned;7;
16/03/2013;Transmarocaine;Quarzazate;250;;Marocco;5;http://www.transmarocaine.org/
30/08/2013;Mongolia Bikechallenge  new;Ulaanbaator ??;1400;14000;Mong;9;
19/05/2013;Namib Quest;Windhoek;440;;Namibië;6;
10/03/2013;Ameland  x-treme;Nes;90;;NL;;
;ATB Tocht;Riethoven;65;;NL;;
;Bart Brentjens Challenge;Eijsden;100;2200;NL;;
10/03/2013;De 8 van Oost Brabant;Mill;80-100-120;;NL;;
;Drenthes Mooiste;Assen;80;;NL;;
23-24/3/13;Gert Jan Theunisse Classic;De Rips;55-65-115;;NL;;
25/11/2012;Holterbergclassic;Nijverdal;75;;NL;;
;Hondsrug Classic;Gieten;55;;NL;;
;Limburgs Mooiste;Parkstad-Limburg;70-110;;NL;;
4/03/2013;Specialized Mtb Tocht;Gulpen;70;1350;NL;;http://www.mtbtourtochtgulpen.nl/
;Wilgenweard Wintermarathon;Lemelerveld;75-100;;NL;;
1/02/2013;Alpine Epic;Mt Somers;259;5250;New ZL;5;http://www.alpineepic.co.nz/
;Birkebeinerrittet;Rena Lillehammer;94;;Noorw;;
;Styrkeproven;Trondheim;540;4648;Nor;3;
;Bike the bugles MTB-Marathon;Bucklige Welt/Krumbach;64;2400;O;;
30/05/2013;Alpentour Trophy;Schladming;211;8200;O;4;
;Granit Marathon-EK;Kleinzell;100;3000;O;;
;Granitbeisser mtb;St.Georgen am Walde;90;3060;O;;
;Grazer Bike Marathon;Graz-Strategg;104;3800;O;;
;Grimming MTB-Marathon;Bad Mitterndorf;78;2750;O;;
;Hrinkow Marathon;Reichraming;70;2050;O;;
;Ironbike;Ischgl;79;3820;O;;
29/06/2013;Kitz Alp Bike;Kirchberg;95;4400;O;;
;Kremstal Challenge;Reinprechts/Waldviertel;72;1600;O;;
;Naturpark Pollauer Tal;Pöllau bei Hartberg;75;2500;O;;
